,county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,booster_recip_count,cumulative_booster_recip_count,booster_eligible_population
666,All CA Counties,2022-03-18,43179,71578294,31289,42756217,11176,26524790,634,2234124,8413,2716500,9745,27741545,8717,30458045,,21122,12226381,28671193
667,All CA Counties,2022-03-19,23866,71602160,18044,42774261,5511,26530301,291,2234415,5251,2716389,5521,27747066,5410,30463455,,11185,12237566,28671193
668,All CA Counties,2022-03-20,11409,71613569,8410,42782671,2843,26533144,149,2234564,2638,2716833,2291,27749357,2735,30466190,,5434,12243000,28671193
669,All CA Counties,2022-03-21,31330,71644899,22424,42805095,8296,26541440,530,2235094,6366,2717087,6393,27755750,6647,30472837,,15394,12258394,28671193
670,All CA Counties,2022-03-22,29021,71673920,20352,42825447,8127,26549567,461,2235555,5518,2716764,6080,27761830,5757,30478594,,14521,12272915,28671193
671,All CA Counties,2022-03-23,29998,71703918,21178,42846625,8223,26557790,459,2236014,5508,2716021,6502,27768332,5759,30484353,,14892,12287807,28671193
672,All CA Counties,2022-03-24,28934,71732852,20344,42866969,8007,26565797,472,2236486,5525,2715642,6156,27774488,5777,30490130,,14343,12302150,28671193
673,All CA Counties,2022-03-25,37199,71770051,27164,42894133,9395,26575192,556,2237042,7359,2714795,8482,27782970,7635,30497765,,18057,12320207,28671193
674,All CA Counties,2022-03-26,19538,71789589,14583,42908716,4703,26579895,245,2237287,4068,2714548,4450,27787420,4203,30501968,,9272,12329479,28671193
675,All CA Counties,2022-03-27,10033,71799622,7278,42915994,2619,26582514,130,2237417,2072,2714645,2049,27789469,2146,30504114,,4811,12334290,28671193
676,All CA Counties,2022-03-28,26043,71825665,18238,42934232,7277,26589791,468,2237885,4744,2714426,5208,27794677,4989,30509103,,12885,12347175,28671193
677,All CA Counties,2022-03-29,31832,71857497,21328,42955560,9880,26599671,555,2238440,5078,2714413,5382,27800059,5369,30514472,,13308,12360483,28671193
678,All CA Counties,2022-03-30,61144,71918641,35565,42991125,24988,26624659,504,2238944,5579,2713809,6461,27806520,5857,30520329,,14814,12375297,28671193
679,All CA Counties,2022-03-31,73215,71991856,40251,43031376,32441,26657100,446,2239390,5597,2713230,6407,27812927,5828,30526157,,14243,12389540,28671193
680,All CA Counties,2022-04-01,92075,72083931,51492,43082868,39992,26697092,508,2239898,7083,2712294,8266,27821193,7330,30533487,,17301,12406841,28671193
681,All CA Counties,2022-04-02,49173,72133104,27980,43110848,20931,26718023,248,2240146,4137,2712210,4370,27825563,4286,30537773,,8563,12415404,28671193
682,All CA Counties,2022-04-03,28216,72161320,15573,43126421,12517,26730540,122,2240268,2204,2712374,2110,27827673,2274,30540047,,4567,12419971,28671193
683,All CA Counties,2022-04-04,81409,72242729,43467,43169888,37477,26768017,393,2240661,5016,2711824,5761,27833434,5211,30545258,,12720,12432691,28671193
684,All CA Counties,2022-04-05,80704,72323433,43439,43213327,36696,26804713,483,2241144,5315,2711574,5820,27839254,5570,30550828,,13247,12445938,28671193
685,All CA Counties,2022-04-06,80049,72403482,43901,43257228,35644,26840357,421,2241565,5425,2711269,5960,27845214,5655,30556483,,12836,12458774,28671193
686,All CA Counties,2022-04-07,80273,72483755,43607,43300835,36246,26876603,355,2241920,5108,2711138,5442,27850656,5311,30561794,,12412,12471186,28671193
687,All CA Counties,2022-04-08,92237,72575992,50892,43351727,40831,26917434,433,2242353,6104,2710350,7109,27857765,6321,30568115,,14592,12485778,28671193
688,All CA Counties,2022-04-09,46590,72622582,26370,43378097,20008,26937442,199,2242552,3741,2710382,3829,27861594,3861,30571976,,7750,12493528,28671193
689,All CA Counties,2022-04-10,26604,72649186,14847,43392944,11638,26949080,106,2242658,2410,2710794,2066,27863660,2478,30574454,,4321,12497849,28671193
690,All CA Counties,2022-04-11,81391,72730577,44503,43437447,36414,26985494,409,2243067,5524,2711095,5462,27869122,5763,30580217,,12760,12510609,28671193
691,All CA Counties,2022-04-12,84214,72814791,45583,43483030,38115,27023609,444,2243511,5747,2711545,5531,27874653,5981,30586198,,12740,12523349,28671193
692,All CA Counties,2022-04-13,80716,72895507,44482,43527512,35734,27059343,421,2243932,5968,2712198,5559,27880212,6212,30592410,,12879,12536228,28671193
693,All CA Counties,2022-04-14,78494,72974001,43407,43570919,34685,27094028,339,2244271,5448,2712446,5387,27885599,5635,30598045,,12292,12548520,28671193
694,All CA Counties,2022-04-15,85502,73059503,47663,43618582,37358,27131386,422,2244693,6295,2712312,6667,27892266,6533,30604578,,14273,12562793,28671193
695,All CA Counties,2022-04-16,39423,73098926,22800,43641382,16388,27147774,222,2244915,3517,2712693,3256,27895522,3637,30608215,,7233,12570026,28671193
696,All CA Counties,2022-04-17,9913,73108839,6130,43647512,3715,27151489,63,2244978,1346,2713186,885,27896407,1378,30609593,,1970,12571996,28671193
697,All CA Counties,2022-04-18,75346,73184185,41173,43688685,33722,27185211,375,2245353,5330,2713631,5089,27901496,5534,30615127,,11797,12583793,28671193
698,All CA Counties,2022-04-19,75163,73259348,41372,43730057,33294,27218505,412,2245765,5343,2714182,5006,27906502,5557,30620684,,11704,12595497,28671193
699,All CA Counties,2022-04-20,71790,73331138,39299,43769356,32019,27250524,375,2246140,5087,2714504,4983,27911485,5305,30625989,,11256,12606753,28671193
700,All CA Counties,2022-04-21,70799,73401937,39350,43808706,30954,27281478,382,2246522,5403,2715158,4980,27916465,5634,30631623,,10991,12617744,28671193
701,All CA Counties,2022-04-22,65030,73466967,36513,43845219,28056,27309534,373,2246895,4905,2714956,5301,27921766,5099,30636722,,10789,12628533,28671193
702,All CA Counties,2022-04-23,37127,73504094,21445,43866664,15493,27325027,172,2247067,3333,2715130,3268,27925034,3442,30640164,,6522,12635055,28671193
703,All CA Counties,2022-04-24,18301,73522395,10419,43877083,7803,27332830,76,2247143,1787,2715351,1616,27926650,1837,30642001,,3350,12638405,28671193
704,All CA Counties,2022-04-25,63546,73585941,34669,43911752,28421,27361251,361,2247504,4548,2715734,4379,27931029,4762,30646763,,10292,12648697,28671193
705,All CA Counties,2022-04-26,63908,73649849,34711,43946463,28764,27390015,355,2247859,4656,2716034,4529,27935558,4829,30651592,,10273,12658970,28671193
706,All CA Counties,2022-04-27,64637,73714486,35515,43981978,28728,27418743,308,2248167,4720,2716167,4753,27940311,4886,30656478,,10839,12669809,28671193
707,All CA Counties,2022-04-28,65117,73779603,35585,44017563,29064,27447807,372,2248539,4841,2716676,4544,27944855,5053,30661531,,10652,12680461,28671193
708,All CA Counties,2022-04-29,75588,73855191,41831,44059394,33304,27481111,377,2248916,5688,2716524,6069,27950924,5917,30667448,,12716,12693177,28671193
709,All CA Counties,2022-04-30,34308,73889499,20001,44079395,14134,27495245,160,2249076,3147,2716784,2977,27953901,3237,30670685,,6490,12699667,28671193
710,All CA Counties,2022-05-01,17897,73907396,10323,44089718,7466,27502711,98,2249174,1965,2717221,1592,27955493,2029,30672714,,3439,12703106,28671193
711,All CA Counties,2022-05-02,57771,73965167,31713,44121431,25697,27528408,299,2249473,4753,2717823,4318,27959811,4920,30677634,,9800,12712906,28671193
712,All CA Counties,2022-05-03,58124,74023291,31231,44152662,26511,27554919,312,2249785,4377,2718019,4372,27964183,4568,30682202,,9625,12722531,28671193
713,All CA Counties,2022-05-04,58294,74081585,31949,44184611,25968,27580887,302,2250087,4399,2718229,4375,27968558,4585,30686787,,9926,12732457,28671193
714,All CA Counties,2022-05-05,58377,74139962,31640,44216251,26318,27607205,347,2250434,4558,2718542,4457,27973015,4770,30691557,,9522,12741979,28671193
715,All CA Counties,2022-05-06,68450,74208412,38335,44254586,29783,27636988,270,2250704,5471,2718738,5423,27978438,5619,30697176,,12006,12753985,28671193
716,All CA Counties,2022-05-07,29658,74238070,17788,44272374,11774,27648762,89,2250793,2935,2719064,2667,27981105,2993,30700169,,5532,12759517,28671193
717,All CA Counties,2022-05-08,12502,74250572,7387,44279761,5065,27653827,43,2250836,1462,2719511,1047,27982152,1494,30701663,,2535,12762052,28671193
718,All CA Counties,2022-05-09,54802,74305374,29850,44309611,24674,27678501,220,2251056,4065,2719861,3856,27986008,4206,30705869,,9730,12771782,28671193
719,All CA Counties,2022-05-10,55629,74361003,30824,44340435,24523,27703024,222,2251278,4448,2720467,3975,27989983,4581,30710450,,9442,12781224,28671193
720,All CA Counties,2022-05-11,59312,74420315,33098,44373533,25889,27728913,237,2251515,4641,2720970,4289,27994272,4792,30715242,,10100,12791324,28671193
721,All CA Counties,2022-05-12,60113,74480428,33004,44406537,26828,27755741,204,2251719,4339,2721280,4153,27998425,4463,30719705,,9843,12801167,28671193
722,All CA Counties,2022-05-13,69248,74549676,38997,44445534,29960,27785701,212,2251931,5384,2721780,5004,28003429,5504,30725209,,12125,12813292,28671193
723,All CA Counties,2022-05-14,33513,74583189,20037,44465571,13357,27799058,111,2252042,3124,2722308,2665,28006094,3193,30728402,,6226,12819518,28671193
724,All CA Counties,2022-05-15,17109,74600298,10004,44475575,7041,27806099,56,2252098,1692,2722675,1360,28007454,1727,30730129,,3335,12822853,28671193
725,All CA Counties,2022-05-16,54730,74655028,30426,44506001,24002,27830101,210,2252308,4336,2723189,3951,28011405,4465,30734594,,9654,12832507,28671193
726,All CA Counties,2022-05-17,55140,74710168,30592,44536593,24266,27854367,209,2252517,4497,2723821,3990,28015395,4622,30739216,,9957,12842464,28671193
727,All CA Counties,2022-05-18,56823,74766991,31737,44568330,24764,27879131,247,2252764,4696,2724519,4144,28019539,4842,30744058,,10272,12852736,28671193
728,All CA Counties,2022-05-19,60104,74827095,32777,44601107,27036,27906167,195,2252959,4620,2725112,4142,28023681,4735,30748793,,10425,12863161,28671193
729,All CA Counties,2022-05-20,75077,74902172,42713,44643820,32055,27938222,234,2253193,5714,2725719,5241,28028922,5848,30754641,,14822,12877983,28671193
730,All CA Counties,2022-05-21,40126,74942298,25033,44668853,14970,27953192,112,2253305,3464,2726358,2890,28031812,3529,30758170,,9752,12887735,28671193
731,All CA Counties,2022-05-22,22070,74964368,14031,44682884,7962,27961154,69,2253374,1954,2726836,1515,28033327,1993,30760163,,6297,12894032,28671193
732,All CA Counties,2022-05-23,61748,75026116,36001,44718885,25442,27986596,224,2253598,4593,2727414,4168,28037495,4746,30764909,,13030,12907062,28671193
733,All CA Counties,2022-05-24,60838,75086954,35664,44754549,24889,28011485,207,2253805,4416,2728008,3937,28041432,4531,30769440,,13426,12920488,28671193
734,All CA Counties,2022-05-25,60684,75147638,36617,44791166,23770,28035255,216,2254021,4574,2728516,4190,28045622,4698,30774138,,14752,12935240,28671193
735,All CA Counties,2022-05-26,57471,75205109,34012,44825178,23160,28058415,194,2254215,4296,2728902,4024,28049646,4410,30778548,,13685,12948925,28671193
736,All CA Counties,2022-05-27,75091,75280200,46330,44871508,28494,28086909,194,2254409,5420,2729094,5339,28054985,5531,30784079,,20714,12969639,28671193
737,All CA Counties,2022-05-28,35936,75316136,23650,44895158,12183,28099092,99,2254508,2651,2729455,2356,28057341,2717,30786796,,11963,12981602,28671193
738,All CA Counties,2022-05-29,19890,75336026,12740,44907898,7093,28106185,56,2254564,1904,2729990,1408,28058749,1943,30788739,,6012,12987614,28671193
739,All CA Counties,2022-05-30,3532,75339558,2262,44910160,1249,28107434,13,2254577,563,2730228,330,28059079,568,30789307,,1023,12988637,28671193
740,All CA Counties,2022-05-31,62280,75401838,38030,44948190,23943,28131377,223,2254800,4849,2730494,4717,28063796,4983,30794290,,15812,13004449,28671193
741,All CA Counties,2022-06-01,57200,75459038,34561,44982751,22364,28153741,182,2254982,4522,2731314,3816,28067612,4636,30798926,,14923,13019372,28671193
742,All CA Counties,2022-06-02,54483,75513521,33191,45015942,21022,28174763,176,2255158,4119,2731717,3826,28071438,4229,30803155,,14499,13033871,28671193
743,All CA Counties,2022-06-03,66553,75580074,41199,45057141,25063,28199826,222,2255380,4711,2731896,4663,28076101,4842,30807997,,18727,13052598,28671193
744,All CA Counties,2022-06-04,34442,75614516,23152,45080293,11193,28211019,85,2255465,2977,2732456,2472,28078573,3032,30811029,,11872,13064470,28671193
745,All CA Counties,2022-06-05,16349,75630865,10877,45091170,5418,28216437,50,2255515,1737,2732938,1291,28079864,1773,30812802,,5127,13069597,28671193
746,All CA Counties,2022-06-06,50515,75681380,31383,45122553,18882,28235319,187,2255702,4246,2733467,3831,28083695,4360,30817162,,14126,13083723,28671193
747,All CA Counties,2022-06-07,48476,75729856,30276,45152829,17987,28253306,148,2255850,4329,2734286,3612,28087307,4431,30821593,,12976,13096699,28671193
748,All CA Counties,2022-06-08,48553,75778409,30490,45183319,17846,28271152,149,2255999,4242,2734952,3676,28090983,4342,30825935,,13701,13110400,28671193
749,All CA Counties,2022-06-09,46222,75824631,28709,45212028,17299,28288451,163,2256162,4032,2735609,3481,28094464,4138,30830073,,13285,13123685,28671193
750,All CA Counties,2022-06-10,56176,75880807,35897,45247925,20065,28308516,170,2256332,4874,2736223,4379,28098843,4993,30835066,,17129,13140814,28671193
751,All CA Counties,2022-06-11,26016,75906823,17654,45265579,8272,28316788,86,2256418,2539,2736575,2245,28101088,2597,30837663,,8677,13149491,28671193
752,All CA Counties,2022-06-12,12988,75919811,8701,45274280,4227,28321015,51,2256469,1524,2736959,1181,28102269,1565,30839228,,4257,13153748,28671193
753,All CA Counties,2022-06-13,42006,75961817,26642,45300922,15137,28336152,143,2256612,3997,2737601,3455,28105724,4097,30843325,,12519,13166267,28671193
754,All CA Counties,2022-06-14,41434,76003251,26188,45327110,14996,28351148,171,2256783,4095,2738507,3302,28109026,4208,30847533,,11807,13178074,28671193
755,All CA Counties,2022-06-15,43081,76046332,27211,45354321,15617,28366765,162,2256945,4051,2739077,3585,28112611,4155,30851688,,12355,13190429,28671193
756,All CA Counties,2022-06-16,41645,76087977,26473,45380794,14915,28381680,186,2257131,4073,2739867,3401,28116012,4191,30855879,,12340,13202769,28671193
757,All CA Counties,2022-06-17,49677,76137654,31693,45412487,17734,28399414,185,2257316,4559,2740422,4118,28120130,4673,30860552,,15136,13217905,28671193
758,All CA Counties,2022-06-18,21914,76159568,14482,45426969,7360,28406774,63,2257379,2507,2740976,1992,28122122,2546,30863098,,6937,13224842,28671193
759,All CA Counties,2022-06-19,9486,76169054,6413,45433382,3043,28409817,26,2257405,1183,2741249,930,28123052,1203,30864301,,3066,13227908,28671193
760,All CA Counties,2022-06-20,37110,76206164,23142,45456524,13721,28423538,150,2257555,3914,2742769,2495,28125547,4015,30868316,,11188,13239096,28671193
761,All CA Counties,2022-06-21,39086,76245250,23457,45479981,14884,28438422,144,2257699,6062,2745764,3169,28128716,6164,30874480,,10665,13249761,28671193
762,All CA Counties,2022-06-22,41950,76287200,24389,45504370,15619,28454041,147,2257846,8193,2750724,3324,28132040,8284,30882764,,10951,13260712,28671193
763,All CA Counties,2022-06-23,42870,76330070,23877,45528247,16447,28470488,147,2257993,9668,2757284,3207,28135247,9767,30892531,,11379,13272091,28671193
764,All CA Counties,2022-06-24,52059,76382129,28159,45556406,19887,28490375,170,2258163,12759,2766243,3913,28139160,12872,30905403,,13424,13285515,28671193
765,All CA Counties,2022-06-25,27978,76410107,14635,45571041,10333,28500708,78,2258241,9502,2773746,2045,28141205,9548,30914951,,6887,13292402,28671193
766,All CA Counties,2022-06-26,12104,76422211,7389,45578430,3800,28504508,32,2258273,2939,2775596,1106,28142311,2956,30917907,,3438,13295840,28671193
767,All CA Counties,2022-06-27,39678,76461889,22510,45600940,14255,28518763,160,2258433,9284,2781858,3130,28145441,9392,30927299,,10355,13306195,28671193
768,All CA Counties,2022-06-28,40080,76501969,21830,45622770,15160,28533923,139,2258572,10101,2788803,3238,28148679,10183,30937482,,10012,13316207,28671193
769,All CA Counties,2022-06-29,40519,76542488,22568,45645338,15146,28549069,135,2258707,9986,2795720,3159,28151838,10076,30947558,,10352,13326559,28671193
770,All CA Counties,2022-06-30,41233,76583721,22098,45667436,15801,28564870,143,2258850,10587,2803106,3294,28155132,10680,30958238,,10311,13336870,28671193
771,All CA Counties,2022-07-01,47282,76631003,25697,45693133,18027,28582897,157,2259007,11509,2811315,3403,28158535,11612,30969850,,11954,13348824,28671193
772,All CA Counties,2022-07-02,19599,76650602,11268,45704401,7073,28589970,66,2259073,4627,2814398,1586,28160121,4669,30974519,,5184,13354008,28671193
773,All CA Counties,2022-07-03,9294,76659896,5991,45710392,2971,28592941,26,2259099,1667,2815199,889,28161010,1690,30976209,,2700,13356708,28671193
774,All CA Counties,2022-07-04,1587,76661483,1004,45711396,485,28593426,6,2259105,526,2815579,149,28161159,529,30976738,,394,13357102,28671193
775,All CA Counties,2022-07-05,40695,76702178,23259,45734655,14911,28608337,165,2259270,8838,2820733,3789,28164948,8943,30985681,,10274,13367376,28671193
776,All CA Counties,2022-07-06,40795,76742973,23562,45758217,14796,28623133,144,2259414,8620,2826058,3396,28168344,8721,30994402,,10485,13377861,28671193
777,All CA Counties,2022-07-07,41281,76784254,23225,45781442,15463,28638596,131,2259545,8675,2831593,3224,28171568,8759,31003161,,10300,13388161,28671193
778,All CA Counties,2022-07-08,51233,76835487,28699,45810141,19323,28657919,150,2259695,10752,2838535,3909,28175477,10851,31014012,,12637,13400798,28671193
779,All CA Counties,2022-07-09,25564,76861051,14540,45824681,9657,28667576,82,2259777,6058,2842689,1956,28177433,6110,31020122,,6317,13407115,28671193
780,All CA Counties,2022-07-10,11771,76872822,7288,45831969,4103,28671679,38,2259815,2244,2843937,1021,28178454,2269,31022391,,3171,13410286,28671193
781,All CA Counties,2022-07-11,40274,76913096,23579,45855548,14981,28686660,139,2259954,7276,2848043,3268,28181722,7374,31029765,,10263,13420549,28671193
782,All CA Counties,2022-07-12,43240,76956336,24350,45879898,16218,28702878,150,2260104,8283,2853131,3298,28185020,8386,31038151,,10460,13431009,28671193
783,All CA Counties,2022-07-13,49020,77005356,27310,45907208,18612,28721490,144,2260248,8275,2858010,3492,28188512,8371,31046522,,11400,13442409,28671193
784,All CA Counties,2022-07-14,50983,77056339,27803,45935011,19619,28741109,136,2260384,8379,2862928,3543,28192055,8461,31054983,,11300,13453709,28671193
785,All CA Counties,2022-07-15,63033,77119372,34037,45969048,23611,28764720,184,2260568,10608,2869379,4274,28196329,10725,31065708,,13955,13467664,28671193
786,All CA Counties,2022-07-16,31000,77150372,17041,45986089,10724,28775444,84,2260652,5136,2872400,2160,28198489,5181,31070889,,7033,13474697,28671193
787,All CA Counties,2022-07-17,15305,77165677,9132,45995221,5230,28780674,42,2260694,2127,2873408,1152,28199641,2160,31073049,,3609,13478306,28671193
788,All CA Counties,2022-07-18,48854,77214531,27480,46022701,17898,28798572,207,2260901,7379,2877298,3612,28203253,7502,31080551,,11007,13489313,28671193
789,All CA Counties,2022-07-19,49429,77263960,26468,46049169,18575,28817147,172,2261073,8354,2881476,4287,28207540,8465,31089016,,11231,13500544,28671193
790,All CA Counties,2022-07-20,47310,77311270,25779,46074948,17584,28834731,139,2261212,7910,2884688,4789,28212329,8001,31097017,,10981,13511525,28671193
791,All CA Counties,2022-07-21,49162,77360432,25709,46100657,19196,28853927,143,2261355,8012,2887571,5224,28217553,8107,31105124,,10574,13522099,28671193
792,All CA Counties,2022-07-22,60349,77420781,31468,46132125,23865,28877792,135,2261490,9252,2889871,7029,28224582,9329,31114453,,13167,13535266,28671193
793,All CA Counties,2022-07-23,28836,77449617,14901,46147026,11842,28889634,79,2261569,4748,2890016,4654,28229236,4799,31119252,,6238,13541504,28671193
794,All CA Counties,2022-07-24,12087,77461704,7410,46154436,4160,28893794,36,2261605,1896,2890550,1385,28230621,1919,31121171,,3014,13544518,28671193
795,All CA Counties,2022-07-25,42270,77503974,23557,46177993,16376,28910170,167,2261772,6990,2893291,4358,28234979,7099,31128270,,10428,13554946,28671193
796,All CA Counties,2022-07-26,43626,77547600,23484,46201477,16533,28926703,139,2261911,7547,2895401,5533,28240512,7643,31135913,,10507,13565453,28671193
797,All CA Counties,2022-07-27,42419,77590019,22768,46224245,16130,28942833,153,2262064,7514,2897346,5677,28246189,7622,31143535,,10323,13575776,28671193
798,All CA Counties,2022-07-28,41494,77631513,22147,46246392,15712,28958545,149,2262213,7344,2898820,5968,28252157,7442,31150977,,10127,13585903,28671193
799,All CA Counties,2022-07-29,49176,77680689,26287,46272679,18355,28976900,157,2262370,8346,2900062,7209,28259366,8451,31159428,,11832,13597735,28671193
800,All CA Counties,2022-07-30,21528,77702217,12327,46285006,7432,28984332,58,2262428,3889,2900647,3340,28262706,3925,31163353,,5364,13603099,28671193
801,All CA Counties,2022-07-31,8784,77711001,5737,46290743,2583,28986915,24,2262452,1617,2901294,988,28263694,1635,31164988,,2533,13605632,28671193
802,All CA Counties,2022-08-01,33840,77744841,20036,46310779,11189,28998104,146,2262598,6296,2904082,3613,28267307,6401,31171389,,9361,13614993,28671193
803,All CA Counties,2022-08-02,35485,77780326,19927,46330706,12092,29010196,117,2262715,6767,2905967,4951,28272258,6836,31178225,,9398,13624391,28671193
804,All CA Counties,2022-08-03,36083,77816409,20832,46351538,12008,29022204,141,2262856,6913,2908242,4725,28276983,7000,31185225,,9927,13634318,28671193
805,All CA Counties,2022-08-04,35005,77851414,19878,46371416,11888,29034092,106,2262962,6797,2910111,5000,28281983,6869,31192094,,9473,13643791,28671193
806,All CA Counties,2022-08-05,41372,77892786,23050,46394466,14216,29048308,136,2263098,7699,2911715,6187,28288170,7791,31199885,,11116,13654907,28671193
807,All CA Counties,2022-08-06,19058,77911844,11057,46405523,6370,29054678,61,2263159,3679,2912072,3369,28291539,3726,31203611,,5001,13659908,28671193
808,All CA Counties,2022-08-07,8211,77920055,5307,46410830,2434,29057112,27,2263186,1622,2912479,1232,28292771,1639,31205250,,2470,13662378,28671193
809,All CA Counties,2022-08-08,31575,77951630,18747,46429577,10328,29067440,132,2263318,5675,2913650,4600,28297371,5771,31211021,,9071,13671449,28671193
810,All CA Counties,2022-08-09,32098,77983728,18155,46447732,10600,29078040,127,2263445,6249,2915303,4673,28302044,6326,31217347,,8836,13680285,28671193
811,All CA Counties,2022-08-10,23357,78007085,12862,46460594,7725,29085765,110,2263555,4572,2916385,3557,28305601,4639,31221986,,6288,13686573,28671193
812,All CA Counties,2022-08-11,23975,78031060,12901,46473495,8348,29094113,101,2263656,5106,2917854,3702,28309303,5171,31227157,,6297,13692870,28671193
813,All CA Counties,2022-08-12,37434,78068494,20836,46494331,12860,29106973,127,2263783,7221,2918956,6210,28315513,7312,31234469,,10015,13702885,28671193
814,All CA Counties,2022-08-13,16368,78084862,9521,46503852,5339,29112312,60,2263843,3362,2919466,2892,28318405,3402,31237871,,4384,13707269,28671193
815,All CA Counties,2022-08-14,7043,78091905,4723,46508575,1903,29114215,27,2263870,1418,2919952,953,28319358,1439,31239310,,2152,13709421,28671193
816,All CA Counties,2022-08-15,26722,78118627,15500,46524075,9036,29123251,123,2263993,5105,2921171,3974,28323332,5193,31244503,,7294,13716715,28671193
817,All CA Counties,2022-08-16,26063,78144690,14457,46538532,8813,29132064,121,2264114,4983,2922216,4023,28327355,5068,31249571,,6819,13723534,28671193
818,All CA Counties,2022-08-17,26281,78170971,14662,46553194,9096,29141160,94,2264208,5214,2923530,3967,28331322,5281,31254852,,6901,13730435,28671193
819,All CA Counties,2022-08-18,25404,78196375,13802,46566996,9031,29150191,99,2264307,5203,2924694,4101,28335423,5265,31260117,,6392,13736827,28671193
820,All CA Counties,2022-08-19,31338,78227713,17119,46584115,10836,29161027,107,2264414,6147,2925530,5401,28340824,6237,31266354,,7912,13744739,28671193
821,All CA Counties,2022-08-20,12687,78240400,7461,46591576,4210,29165237,49,2264463,2574,2925865,2269,28343093,2604,31268958,,3384,13748123,28671193
822,All CA Counties,2022-08-21,5427,78245827,3568,46595144,1607,29166844,15,2264478,1184,2926239,822,28343915,1196,31270154,,1611,13749734,28671193
823,All CA Counties,2022-08-22,21875,78267702,12289,46607433,7684,29174528,105,2264583,4162,2927018,3463,28347378,4242,31274396,,5752,13755486,28671193
824,All CA Counties,2022-08-23,22312,78290014,12062,46619495,7904,29182432,91,2264674,4444,2927900,3623,28351001,4505,31278901,,5644,13761130,28671193
825,All CA Counties,2022-08-24,22741,78312755,12475,46631970,7840,29190272,113,2264787,4552,2928862,3665,28354666,4627,31283528,,5912,13767042,28671193
826,All CA Counties,2022-08-25,21432,78334187,11526,46643496,7716,29197988,114,2264901,4551,2929773,3722,28358388,4633,31288161,,5411,13772453,28671193
827,All CA Counties,2022-08-26,26568,78360755,14347,46657843,9145,29207133,109,2265010,5454,2930410,4887,28363275,5524,31293685,,6644,13779097,28671193
828,All CA Counties,2022-08-27,11915,78372670,7035,46664878,3805,29210938,47,2265057,2552,2930643,2351,28365626,2584,31296269,,3103,13782200,28671193
829,All CA Counties,2022-08-28,5279,78377949,3451,46668329,1552,29212490,18,2265075,1163,2930914,907,28366533,1178,31297447,,1530,13783730,28671193
830,All CA Counties,2022-08-29,18526,78396475,10435,46678764,6384,29218874,102,2265177,3588,2931458,3110,28369643,3654,31301101,,4879,13788609,28671193
831,All CA Counties,2022-08-30,19298,78415773,10347,46689111,6910,29225784,81,2265258,3921,2932128,3315,28372958,3985,31305086,,4835,13793444,28671193
832,All CA Counties,2022-08-31,16106,78431879,8636,46697747,5416,29231200,96,2265354,3829,2933187,2834,28375792,3893,31308979,,3904,13797348,28671193
833,All CA Counties,2022-09-01,10531,78442410,5118,46702865,3529,29234729,67,2265421,3137,2933803,2571,28378363,3187,31312166,,2048,13799396,28671193
834,All CA Counties,2022-09-02,12704,78455114,5780,46708645,4378,29239107,83,2265504,3953,2934227,3587,28381950,4011,31316177,,2495,13801891,28671193
835,All CA Counties,2022-09-03,9266,78464380,2143,46710788,6329,29245436,34,2265538,1539,2934504,1291,28383241,1568,31317745,,5605,13807496,28671193
836,All CA Counties,2022-09-04,6468,78470848,1209,46711997,5055,29250491,19,2265557,741,2934794,469,28383710,759,31318504,,4876,13812372,28671193
837,All CA Counties,2022-09-05,1149,78471997,432,46712429,642,29251133,16,2265573,292,2934957,138,28383848,301,31318805,,605,13812977,28671193
838,All CA Counties,2022-09-06,27124,78499121,7235,46719664,17848,29268981,77,2265650,3379,2935453,2946,28386794,3442,31322247,,17800,13830777,28671193
839,All CA Counties,2022-09-07,46368,78545489,19471,46739135,24814,29293795,69,2265719,4007,2936954,2562,28389356,4063,31326310,,36221,13866998,28671193
840,All CA Counties,2022-09-08,46363,78591852,22998,46762133,21101,29314896,68,2265787,4085,2938389,2708,28392064,4143,31330453,,36011,13903009,28671193
841,All CA Counties,2022-09-09,71858,78663710,36490,46798623,31881,29346777,65,2265852,5391,2939694,4130,28396194,5435,31335888,,57425,13960434,28671193
842,All CA Counties,2022-09-10,38750,78702460,22041,46820664,15017,29361794,40,2265892,2435,2939895,2269,28398463,2470,31338358,,31759,13992193,28671193
843,All CA Counties,2022-09-11,23584,78726044,14281,46834945,8780,29370574,9,2265901,1544,2940764,682,28399145,1551,31339909,,20137,14012330,28671193
844,All CA Counties,2022-09-12,75252,78801296,44987,46879932,28225,29398799,63,2265964,4486,2942706,2597,28401742,4539,31344448,,63786,14076116,28671193
845,All CA Counties,2022-09-13,70588,78871884,45184,46925116,22760,29421559,68,2266032,4577,2944416,2923,28404665,4633,31349081,,58672,14134788,28671193
846,All CA Counties,2022-09-14,79705,78951589,53305,46978421,23850,29445409,63,2266095,5064,2946543,2983,28407648,5110,31354191,,66754,14201542,28671193
847,All CA Counties,2022-09-15,77125,79028714,52734,47031155,21668,29467077,64,2266159,4894,2948204,3286,28410934,4947,31359138,,64362,14265904,28671193
