date,deaths,cases,total_doses,cumulative_total_doses
10/2/2022,16,1964,25071,80269914
10/3/2022,14,3849,93010,80362924
10/4/2022,13,3337,88432,80451356
10/5/2022,7,3008,97337,80548693
10/6/2022,8,2770,92805,80641498
10/7/2022,3,2634,116044,80757542
10/8/2022,6,1912,51903,80809445
10/9/2022,0,1655,25874,80835319
10/10/2022,2,3134,95000,80930319
10/11/2022,2,2944,92030,81022349
10/12/2022,0,2631,98877,81121226
10/13/2022,3,2241,93360,81214586
10/14/2022,0,1670,119568,81334154
10/15/2022,1,1088,49843,81383997
10/16/2022,1,815,24681,81408678
10/17/2022,0,748,97053,81505731
